Dolphins,10,3,10,10,33,Raiders,7,7,0,3,17,201012
Chiefs,7,14,0,21,42,Seahawks,7,3,7,7,24,201012
Eagles,3,10,0,13,26,Bears,14,7,10,0,31,201012
Rams,7,19,7,3,36,Broncos,10,3,0,20,33,201012
Buccaneers,0,3,0,7,10,Ravens,0,17,0,0,17,201012
Chargers,10,6,10,10,36,Colts,7,7,0,0,14,201012
49ers,14,7,3,3,27,Cardinals,3,3,0,0,6,201012
Texans,3,7,14,0,24,Eagles,7,13,0,14,34,201013
Saints,3,10,7,14,34,Bengals,0,6,6,18,30,201013
Bears,7,7,3,7,24,Lions,7,10,3,0,20,201013
49ers,3,10,3,0,16,Packers,0,14,14,6,34,201013
Jaguars,7,10,0,0,17,Titans,0,0,3,3,6,201013
Broncos,0,3,0,3,6,Chiefs,7,3,0,0,10,201013
Browns,0,3,7,3,13,Dolphins,0,3,0,7,10,201013
Bills,7,0,0,7,14,Vikings,7,24,0,7,38,201013
Redskins,0,0,7,0,7,Giants,14,7,7,3,31,201013
Raiders,14,7,0,7,28,Chargers,0,3,3,7,13,201013
Cowboys,10,7,10,8,3,38,Colts,0,7,7,21,0,35,201013
Rams,3,6,7,3,19,Cardinals,6,0,0,0,6,201013
Panthers,7,7,0,0,14,Seahawks,0,3,21,7,31,201013
Falcons,7,7,0,14,28,Buccaneers,7,7,3,7,24,201013
Steelers,0,0,3,10,13,Ravens,7,0,3,0,10,201013
Jets,0,3,0,0,3,Patriots,17,7,7,14,45,201013
Colts,7,14,3,6,30,Titans,0,7,7,14,28,201014
Browns,3,3,0,0,6,Bills,0,10,0,3,13,201014
Packers,0,0,3,0,3,Lions,0,0,0,7,7,201014
Bengals,7,0,0,0,7,Steelers,0,10,3,10,23,201014
Buccaneers,0,3,6,8,17,Redskins,0,10,0,6,16,201014
Falcons,14,3,7,7,31,Panthers,0,0,7,3,10,201014
Raiders,7,10,7,7,31,Jaguars,0,7,21,10,38,201014
Rams,0,6,0,7,13,Saints,14,7,7,3,31,201014
Seahawks,7,0,7,7,21,49ers,10,20,10,0,40,201014
Patriots,7,26,3,0,36,Bears,0,0,7,0,7,201014
Dolphins,10,0,0,0,10,Jets,0,3,0,3,6,201014
Broncos,3,0,0,10,13,Cardinals,3,13,3,24,43,201014
Chiefs,0,0,0,0,0,Chargers,7,14,0,10,31,201014
Eagles,7,7,3,13,30,Cowboys,7,3,10,7,27,201014
Giants,0,14,7,0,21,Vikings,3,0,0,0,3,201014
Ravens,7,14,7,0,6,34,Texans,0,7,6,15,0,28,201014
49ers,0,0,0,7,7,Chargers,7,10,7,10,34,201015
Browns,7,0,0,10,17,Bengals,0,10,6,3,19,201015
Redskins,0,7,7,16,30,Cowboys,10,10,10,3,33,201015
Texans,0,3,7,7,17,Titans,21,3,7,0,31,201015
Jaguars,0,10,7,7,24,Colts,7,7,10,10,34,201015
Chiefs,0,14,3,10,27,Rams,6,0,0,7,13,201015
Bills,0,10,7,0,17,Dolphins,0,7,0,7,14,201015
Eagles,0,3,7,28,38,Giants,7,17,0,7,31,201015
Lions,7,3,7,3,3,23,Buccaneers,0,14,0,6,0,20,201015
Cardinals,0,3,0,9,12,Panthers,6,7,6,0,19,201015
Saints,7,7,3,7,24,Ravens,7,14,3,6,30,201015
Falcons,0,17,17,0,34,Seahawks,7,3,0,8,18,201015
Broncos,14,3,3,3,23,Raiders,14,3,6,16,39,201015
Jets,7,3,7,5,22,Steelers,0,10,7,0,17,201015
Packers,3,14,7,3,27,Patriots,7,7,7,10,31,201015
Bears,10,7,20,3,40,Vikings,7,0,7,0,14,201015
Panthers,0,0,0,3,3,Steelers,3,17,7,0,27,201016
Cowboys,0,10,10,6,26,Cardinals,14,7,0,6,27,201016
Patriots,7,17,7,3,34,Bills,3,0,0,0,3,201016
Jets,0,24,7,3,34,Bears,10,7,21,0,38,201016
Ravens,0,13,7,0,20,Browns,7,3,0,0,10,201016
Titans,0,7,7,0,14,Chiefs,14,17,3,0,34,201016
49ers,0,14,0,3,17,Rams,9,3,3,10,25,201016
Lions,3,7,7,17,34,Dolphins,3,14,7,3,27,201016
Redskins,10,0,0,7,3,20,Jaguars,0,7,3,7,0,17,201016
Chargers,0,3,7,10,20,Bengals,7,6,0,21,34,201016
Texans,7,10,6,0,23,Broncos,0,0,10,14,24,201016
Colts,7,10,7,7,31,Raiders,7,6,3,10,26,201016
Giants,0,14,3,0,17,Packers,14,7,10,14,45,201016
Seahawks,7,0,0,8,15,Buccaneers,3,14,14,7,38,201016
Saints,3,7,0,7,17,Falcons,0,7,0,7,14,201016
Vikings,0,7,10,7,24,Eagles,7,0,0,7,14,201016
